pressure,temperature,salinity,latitude,longitude,time,float_id
2.3,28.6401,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
4.1,28.636005,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
5.9,28.637093,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
8.1,28.72779,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
9.5,28.821325,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
11.4,28.969652,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
13.9,29.119404,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
16.0,29.15593,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
18.0,29.169266,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
20.0,29.17922,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
22.0,29.181889,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
24.0,29.174925,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
26.0,29.172647,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
28.0,29.165297,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
30.0,29.157166,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
32.0,29.148193,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
34.0,29.139612,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
36.0,29.125315,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
38.0,29.117975,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
40.0,29.127134,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
42.0,29.12772,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
44.0,29.115896,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
46.0,29.096613,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
47.8,29.055359,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
49.7,28.861498,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
52.1,28.695862,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
53.7,28.33539,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
56.0,27.968754,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
58.0,27.801664,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
60.2,27.604128,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
61.9,27.303082,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
64.0,27.116684,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
66.2,26.947197,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
67.7,26.758968,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
70.0,26.30152,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
72.2,26.01487,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
74.5,25.301607,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
75.6,25.018757,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
78.0,24.515192,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
80.3,24.05054,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
81.8,23.756441,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
83.9,23.479671,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
86.0,22.925892,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
88.0,22.739157,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
90.1,22.559666,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
91.9,22.339333,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
93.9,22.06226,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
96.0,21.843523,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
98.0,21.701643,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
100.3,21.496128,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
101.8,21.403212,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
104.0,20.965464,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
105.9,20.773815,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
108.0,20.492466,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
110.0,20.317635,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
112.0,20.174095,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
114.0,19.967413,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
116.0,19.48382,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
118.0,19.137875,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
120.0,18.952032,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
122.0,18.822681,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
124.0,18.719393,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
126.0,18.479021,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
128.1,18.269377,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
130.0,18.101006,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
132.0,17.928808,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
134.0,17.682238,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
136.0,17.48256,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
138.0,17.169083,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
140.0,16.972061,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
142.0,16.836006,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
144.0,16.708433,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
146.0,16.521502,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
148.0,16.361517,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
150.0,16.179878,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
152.0,16.083775,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
154.0,15.998517,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
156.0,15.82805,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
158.0,15.7029505,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
160.0,15.626274,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
162.0,15.5517845,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
164.0,15.516359,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
166.0,15.470412,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
168.0,15.403315,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
170.0,15.3459635,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
172.0,15.277307,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
174.0,15.1597395,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
176.0,15.040012,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
178.0,14.872541,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
180.0,14.797792,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
182.0,14.7255535,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
184.0,14.620126,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
186.0,14.507067,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
188.0,14.432529,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
190.0,14.380036,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
192.0,14.303641,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
194.0,14.221065,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
196.0,14.139915,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
198.0,14.026734,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
200.0,13.94326,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
202.0,13.868926,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
204.0,13.770088,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
206.0,13.704112,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
208.0,13.624104,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
210.0,13.544432,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
212.0,13.464647,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
214.0,13.386171,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
216.0,13.303172,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
218.0,13.253365,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
220.0,13.182024,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
222.0,13.134794,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
224.0,13.061392,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
226.0,12.987734,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
228.0,12.8383,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
230.0,12.77345,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
232.0,12.676028,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
234.0,12.571528,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
236.0,12.509989,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
238.0,12.409896,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
240.0,12.34807,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
242.0,12.296416,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
244.0,12.267509,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
246.1,12.261416,,16.0889,90.2888,2025-08-31 02:58:59.000299008,b'5907152 '
